Client ID,Loss,Accuracy,MSE,R2
95,0.0063995702930588665,0.9397749834546658,0.9927200529450695,0.8847026661586428
411,0.006086030059656608,0.9429362880886426,0.9191135734072022,0.891065120430266
95,0.004812351779606684,0.9553275976174719,0.8656518861681006,0.8994607248903366
411,0.004508664031252471,0.9570637119113573,0.7997229916897507,0.905215492068167
95,0.0041563027519251955,0.9616148246194572,0.7767482903154644,0.9097862416765737
411,0.003722046730873912,0.96398891966759,0.6930747922437673,0.9178556152249927
95,0.003677432030193757,0.9664129715420251,0.6813368630046327,0.9208675965402152
411,0.0032020077247842064,0.9682825484764543,0.6386426592797785,0.9243070027582817
95,0.003370986930399759,0.9691594970218398,0.6383851753805427,0.9258561278510846
411,0.0028646251967001366,0.9713019390581717,0.5965650969529086,0.9292941058947021
227,0.011380319222321826,0.8918918918918919,1.9217148182665424,0.7644891993088784
155,0.012056563129182636,0.877527440785673,2.2692085499711148,0.7275135286078078
227,0.008433882381423322,0.9240447343895619,1.3243243243243243,0.8377008497662057
155,0.008825713231651718,0.9113229347198151,1.7068168688619294,0.7950454990508575
227,0.007049583843537428,0.9356943150046598,1.058403230817024,0.8702901231887082
155,0.007176880090037062,0.9254766031195839,1.4382823031003273,0.8272911189045923
227,0.0061090831481656355,0.9431500465983225,0.9177539608574091,0.8875270315322106
155,0.006191231354216682,0.9345753899480068,1.282206816868862,0.846032657012482
227,0.005399786778235286,0.9494874184529356,0.8281453867660764,0.8985087791008096
155,0.005461308747585937,0.9419988445984979,1.1417677642980937,0.8628965727954355
